START_DATE*,END_DATE*,CATEGORY*,START*,STOP*,MILES*,PURPOSE*
########,########,Personal,Morrisville,Cary,8.1,
########,########,Personal,Whitebridge,Whitebridge,1.4,
########,########,Personal,Whitebridge,Preston,1.7,
########,########,Personal,Preston,Whitebridge,1.6,
########,########,Personal,Whitebridge,Westpark Place,2,
########,########,Business,Westpark Place,Whitebridge,2.2,
########,########,Business,Cary,Latta,144,Customer Visit
########,########,Business,Latta,Jacksonville,310.3,Customer Visit
########,########,Business,Jacksonville,Kissimmee,201,Meeting
########,########,Personal,Couples Glen,Isles of Buena Vista,6.7,
########,########,Personal,Kissimmee,Orlando,8.8,
########,########,Personal,Lake Reams,Lake Reams,1.2,
########,########,Business,Lake Reams,Lake Reams,2.1,Errand/Supplies
########,########,Business,Orlando,Kissimmee,6.6,Meal/Entertain
########,########,Business,Kissimmee,Orlando,6.1,Customer Visit
########,########,Personal,Orlando,Orlando,6.9,
########,########,Personal,Orlando,Kissimmee,7.3,
########,########,Personal,Kissimmee,Orlando,3.6,
########,########,Personal,Couples Glen,Vista East,27.2,
########,########,Personal,Orlando,Kissimmee,25.7,
########,########,Personal,Kissimmee,Orlando,13.6,
########,########,Personal,Sand Lake Commons,Sky Lake,6.2,
########,########,Personal,Sky Lake,Sand Lake Commons,6,
########,########,Personal,Orlando,Kissimmee,13.8,
########,########,Business,Orlando,Kissimmee,28.8,Meal/Entertain
########,########,Business,Kissimmee,Orlando,16.1,Temporary Site
########,########,Business,Orlando,Kissimmee,16.4,Meal/Entertain
########,########,Business,Kissimmee,Kissimmee,11,Meeting
########,########,Business,Kissimmee,Orlando,15.5,Customer Visit
########,########,Business,Orlando,Kissimmee,20.3,Meeting
########,########,Personal,Kissimmee,Kissimmee,0.7,
########,########,Personal,Kissimmee,Kissimmee,5.5,
########,########,Personal,Kissimmee,Kissimmee,5.1,
########,########,Business,Kissimmee,Daytona Beach,77.3,Customer Visit
########,########,Business,Daytona Beach,Jacksonville,80.5,Customer Visit
########,########,Business,Jacksonville,Ridgeland,174.2,Customer Visit
########,########,Business,Ridgeland,Florence,144,Meeting
########,########,Business,Florence,Cary,159.3,Meeting
########,########,Business,Whitebridge,Wayne Ridge,7.9,Meal/Entertain
########,########,Business,Wayne Ridge,Whitebridge,8,Meal/Entertain
########,########,Business,Cary,Morrisville,6.1,Meal/Entertain
########,########,Business,Morrisville,Cary,6.1,Errand/Supplies
########,########,Business,Cary,Durham,10.5,Meeting
########,########,Business,Durham,Cary,8.7,Meal/Entertain
########,########,Business,Westpark Place,Whitebridge,1.8,Errand/Supplies
########,########,Business,Cary,Raleigh,19.1,Meeting
########,########,Business,Raleigh,Cary,18.6,Meeting
########,########,Business,Whitebridge,Edgehill Farms,2.8,Errand/Supplies
########,########,Business,Cary,Raleigh,8.9,Meeting
########,########,Business,Meredith,Cedar Hill,7.5,Customer Visit
########,########,Business,Raleigh,Morrisville,15.9,Meeting
########,########,Business,Morrisville,Cary,6.5,Meal/Entertain
########,########,Business,Cary,Holly Springs,15.3,Temporary Site
########,########,Business,Holly Springs,Cary,13.7,Temporary Site
########,########,Business,Cary,Raleigh,11.9,Temporary Site
########,########,Business,Meredith Townes,Harden Place,1.4,Errand/Supplies
########,########,Business,Raleigh,Cary,15.2,Meeting
########,########,Business,Cary,Morrisville,6,Errand/Supplies
########,########,Business,Morrisville,Cary,6.1,Meal/Entertain
########,########,Business,Whitebridge,Wayne Ridge,8.2,Meal/Entertain
########,########,Business,Wayne Ridge,Whitebridge,8,Meal/Entertain
########,########,Business,Cary,Raleigh,13.6,Meeting
########,########,Business,Raleigh,Cary,22.5,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,10,Meeting
########,########,Business,Whitebridge,Tanglewood,6,Meal/Entertain
########,########,Business,Tanglewood,Whitebridge,6.5,Meal/Entertain
########,########,Business,Cary,Morrisville,3.1,Errand/Supplies
########,########,Business,Chessington,Chessington,1.9,Errand/Supplies
########,########,Business,Morrisville,Cary,4.2,Between Offices
########,########,Business,Whitebridge,Burtrose,4.9,Between Offices
########,########,Business,Burtrose,Whitebridge,4.8,Between Offices
########,########,Business,Cary,Raleigh,12.4,Customer Visit
########,########,Business,Raleigh,Cary,32.8,Customer Visit
########,########,Business,Morrisville,Cary,5.5,Customer Visit
########,########,Business,Cary,Durham,9.9,Meeting
########,########,Business,Durham,Cary,10,Meeting
########,########,Business,Cary,Durham,14.2,Customer Visit
########,########,Business,Durham,Cary,18.2,Meeting
########,########,Business,Whitebridge,Waverly Place,7.7,Meal/Entertain
########,########,Business,Waverly Place,Whitebridge,6.8,
########,########,Business,Whitebridge,Westpark Place,2.1,Meal/Entertain
########,########,Business,Westpark Place,Whitebridge,2.3,
########,########,Business,Whitebridge,Tanglewood,6.2,Between Offices
########,########,Business,Tanglewood,Parkway,7.5,Meeting
########,########,Business,Parkway,Whitebridge,3.1,Errand/Supplies
########,########,Business,Whitebridge,Westpark Place,2.2,Errand/Supplies
########,########,Business,Westpark Place,Whitebridge,3.9,Meal/Entertain
########,########,Business,Morrisville,Cary,2.5,Meal/Entertain
########,########,Business,Cary,Morrisville,8.7,Meal/Entertain
########,########,Business,Mcvan,Capitol One,14.5,Errand/Supplies
########,########,Business,Capitol One,University District,4.5,Meal/Entertain
########,########,Business,University District,Capitol One,5,Meal/Entertain
########,########,Business,Seattle,Redmond,14.2,Meal/Entertain
########,########,Business,Redmond,Bellevue,2.9,Errand/Supplies
########,########,Business,Bellevue,Seattle,12.9,Meeting
########,########,Business,Capitol One,Mcvan,14.4,Meeting
########,########,Business,Chapel Hill,Morrisville,17,Meeting
########,########,Business,Morrisville,Cary,7.9,Customer Visit
########,########,Business,Cary,Morrisville,8.4,Customer Visit
########,########,Business,San Francisco,Palo Alto,20.5,Between Offices
########,########,Business,Palo Alto,Sunnyvale,9.8,Customer Visit
########,########,Business,Sunnyvale,Newark,17.6,Customer Visit
########,########,Business,Newark,Menlo Park,9.3,Customer Visit
########,########,Business,Menlo Park,Newark,7.9,Customer Visit
########,########,Business,Newark,San Francisco,25.6,Meeting
########,########,Business,Morrisville,Cary,8.1,Meeting
########,########,Business,Cary,Morrisville,3.1,Meal/Entertain
########,########,Business,Morrisville,Cary,3.1,Meal/Entertain
########,########,Business,Whitebridge,Preston,2.8,Errand/Supplies
########,########,Business,Preston,Westpark Place,2.7,Errand/Supplies
########,########,Business,Westpark Place,Whitebridge,1.9,Errand/Supplies
########,########,Business,Cary,Morrisville,8.4,Customer Visit
########,########,Business,Morrisville,Raleigh,7.6,Customer Visit
########,########,Business,Old City,Parkway Museums,2.9,Meal/Entertain
########,########,Business,Old City,Hog Island,11.2,Meeting
########,########,Business,Morrisville,Cary,8.2,Meal/Entertain
########,########,Business,Cary,Morrisville,3,Meal/Entertain
########,########,Business,Morrisville,Cary,2.5,Meal/Entertain
########,########,Business,Whitebridge,Savon Height,3.6,Meal/Entertain
########,########,Business,Savon Height,Whitebridge,3.6,Errand/Supplies
########,########,Business,Whitebridge,Kildaire Farms,4.5,Errand/Supplies
########,########,Business,Savon Height,Kilarney Woods,1.2,
########,########,Business,Kilarney Woods,Kildaire Farms,1.7,Errand/Supplies
########,########,Business,Kilarney Woods,Whitebridge,4.7,Errand/Supplies
########,########,Business,Cary,Morrisville,6.1,Meal/Entertain
########,########,Business,Morrisville,Cary,11.3,Customer Visit
########,########,Business,Cary,Raleigh,14.9,Meeting
########,########,Business,Raleigh,Cary,14,Meeting
########,########,Business,Westpark Place,Whitebridge,1.8,
########,########,Business,Cary,Morrisville,6.7,Customer Visit
########,########,Business,Morrisville,Cary,9.6,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Business,Cary,Morrisville,6,Meal/Entertain
########,########,Business,Townes at Everett Crossing,Chessington,3.3,Errand/Supplies
########,########,Business,Morrisville,Cary,3.1,Errand/Supplies
########,########,Business,Huntington Woods,Weston,1.7,Errand/Supplies
########,########,Business,Morrisville,Cary,4,Between Offices
########,########,Business,Whitebridge,Savon Height,7.8,Customer Visit
########,########,Business,Cary,Morrisville,7.8,Customer Visit
########,########,Business,Weston,Weston,3.8,Meal/Entertain
########,########,Business,Morrisville,Cary,2.5,Meal/Entertain
########,########,Business,Cary,Durham,9.9,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Business,Whitebridge,Hazelwood,3,Errand/Supplies
########,########,Business,Hazelwood,Whitebridge,2.4,Errand/Supplies
########,########,Business,Cary,Apex,5.7,Meal/Entertain
########,########,Business,Apex,Cary,7.2,Meal/Entertain
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Business,Cary,Morrisville,8.7,Meal/Entertain
########,########,Business,Jamaica,New York,22.3,Errand/Supplies
########,########,Business,Seaport,Gramercy-Flatiron,3.3,Meal/Entertain
########,########,Business,Medical Centre,Tudor City,0.7,Errand/Supplies
########,########,Business,Rose Hill,Soho,2.5,Meal/Entertain
########,########,Business,Soho,Tribeca,0.5,Errand/Supplies
########,########,Business,Tribeca,Financial District,0.9,Errand/Supplies
########,########,Business,Financial District,Kips Bay,4.8,Errand/Supplies
########,########,Business,New York,Jamaica,16.3,Meeting
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Business,Cary,Morrisville,3.7,Errand/Supplies
########,########,Business,Morrisville,Cary,4.6,Meal/Entertain
########,########,Business,Westpark Place,Whitebridge,1.7,
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
########,########,Business,Cary,Morrisville,2.5,Meal/Entertain
########,########,Business,Morrisville,Cary,4.3,Errand/Supplies
########,########,Business,Parkway,Whitebridge,2.8,Errand/Supplies
########,########,Business,Cary,Morrisville,8.4,Meal/Entertain
########,########,Business,Oakland,Emeryville,13.2,Meeting
########,########,Business,Emeryville,Berkeley,3.9,Meal/Entertain
########,########,Business,Berkeley,Oakland,5.1,Meal/Entertain
########,########,Business,Oakland,Unknown Location,5.2,Customer Visit
########,########,Business,Emeryville,San Francisco,9.8,
########,########,Business,San Francisco,Emeryville,11.6,Meeting
########,########,Business,Emeryville,Oakland,5.1,Meeting
########,########,Business,Downtown,Bay Farm Island,9.3,Errand/Supplies
########,########,Business,Kenner,New Orleans,12.4,Between Offices
########,########,Business,CBD,Lower Garden District,1.9,Between Offices
########,########,Business,Lower Garden District,Lakeview,6.4,Customer Visit
########,########,Personal,Lakeview,Storyville,5.5,
########,########,Business,Storyville,Faubourg Marigny,1.5,Meal/Entertain
########,########,Business,New Orleans,Metairie,14.5,
########,########,Business,Metairie,Kenner,2.7,
########,########,Business,Kenner,New Orleans,15,
########,########,Business,New Orleans,Kenner,12.9,
########,########,Business,Kenner,New Orleans,13.6,
########,########,Business,New Orleans,Kenner,12.2,
########,########,Business,Morrisville,Cary,8.7,
########,########,Business,Cary,Raleigh,6,
########,########,Business,Raleigh,Cary,5.9,
########,########,Business,Cary,Raleigh,19.3,
########,########,Business,Raleigh,Cary,16.6,Meal/Entertain
########,########,Business,Whitebridge,Waverly Place,7.1,Meal/Entertain
########,########,Business,Waverly Place,Macgregor Downs,2.1,Meal/Entertain
########,########,Business,Cary,Raleigh,8.6,Errand/Supplies
########,########,Business,Raleigh,Morrisville,9,Errand/Supplies
########,########,Business,Morrisville,Cary,3.1,Errand/Supplies
########,########,Business,Cary,Morrisville,8.4,Temporary Site
########,########,Business,Kenner,New Orleans,12.8,
########,########,Business,CBD,Bywater,4.5,
########,########,Business,New Orleans,Chalmette,11.8,Between Offices
########,########,Business,Chalmette,Arabi,1.1,Errand/Supplies
########,########,Business,Arabi,Metairie,17,Meal/Entertain
########,########,Business,Pontchartrain Shores,Pontchartrain Shores,1.7,Meeting
########,########,Business,Metairie,New Orleans,15.5,Meeting
########,########,Business,Storyville,Marigny,1.6,
########,########,Business,Marigny,Storyville,1.5,
########,########,Business,New Orleans,Kenner,12.6,Meeting
########,########,Business,Pontchartrain Shores,Pontchartrain Shores,4.8,
########,########,Business,Kenner,Kenner,2.2,
########,########,Business,Kenner,New Orleans,13,
########,########,Business,New Orleans,Covington,46.9,
########,########,Business,Covington,Covington,2.5,
########,########,Business,Covington,Covington,8.6,
########,########,Business,Covington,Covington,5.2,
########,########,Business,Covington,Covington,7.6,
########,########,Business,Covington,Covington,1.8,
########,########,Business,Covington,Mandeville,4.7,
########,########,Business,Mandeville,Mandeville,2.8,
########,########,Business,Mandeville,Metairie,30,
########,########,Business,Metairie,Kenner,4.4,
########,########,Business,Jamestown Court,Jamestown Court,1,
########,########,Business,Morrisville,Cary,8.2,Customer Visit
########,########,Business,Cary,Durham,10.4,Meeting
########,########,Business,Durham,Cary,9.9,Meeting
